Physical Quantities,Calculated,Figure
i (A),0.6 ampere,0.6 ampere
v_R (V),40.0 volt,40.0 volt
v_C (V),30.0 volt,30.0 volt
v (V),50.0 volt,50.0 volt
ω (s⁻¹),314.1592653589793 / second,314.1592653589793 / second
φ_RC (deg),-36.86989764584402 degree,-36.86989764584402 degree
C (μF),38.19718634205488 microfarad,38.19718634205488 microfarad
