d_mm,I0_volt,I_volt,label
3.35,0.689,0.472,Semi-permeable
3.81,0.690,0.455,Semi-permeable
3.25,0.685,0.498,Semi-permeable
3.40,0.684,0.449,Semi-permeable
3.85,0.685,0.653,glass
2.8,0.684,0.656,glass
3.0,0.685,0.650,glass
3.9,0.682,0.649,glass
