Time,Delta_x,Velocity,Acceleration
0.02,0.007,0.35,1.25
0.04,0.0075,0.375,2.5
0.06,0.0085,0.425,3.75
0.08,0.01,0.5,2.5
0.1,0.011,0.55,6.25
0.12,0.0135,0.675,1.25
0.14,0.014,0.7,2.5
0.16,0.015,0.75,2.5
0.18,0.016,0.8,0
0.2,0.016,0.8,7.5
0.22,0.019,0.95,2.25
0.24,0.0199,0.995,2.75
0.26,0.021,1.05,5
0.28,0.023,1.15,5
0.3,0.025,1.25,2.5
0.32,0.026,1.3,2.5
0.34,0.027,1.35,5
0.36,0.029,1.45,0
