color,lambda,case1,case2,delta_min,n_p,n_p_pred
Red ,7065,155.6,112.6,165.2,1.8464204342259622,1.846657323305844
Burgundy red ,6678,155.6,112.4,164.8,1.8490920672246265,1.848618227408065
Yellow ,5875,155.6,112.0,164.0,1.854367709133575,1.8539926957388748
Green ,5015,155.6,111.4,162.8,1.8621116317250568,1.8628469037327384
Pine green ,4921,155.6,111.3,162.6,1.8633824551710982,1.864105457682664
Blue ,4713,155.6,111.0,162.0,1.8671608529944037,1.8671628373477114
Violet,4471,155.6,110.6,161.2,1.872119071477947,1.871270776736773
