color,lambda,case1,case2
Red ,7065,155.6,112.6
Burgundy red ,6678,155.6,112.4
Yellow ,5875,155.6,112.0
Green ,5015,155.6,111.4
Pine green ,4921,155.6,111.3
Blue ,4713,155.6,111.0
Violet,4471,155.6,110.6
