t(min),T(K),DeltaT(rod)(K)
1,281.3,4.74
2,281.6,6.81
3,281.9,9.04
4,282.1,10.44
5,282.4,11.40
6,282.7,11.91
7,283.1,12.23
8,283.5,12.52
9,283.9,12.70
10,284.3,12.87
