I (A),\alpha,tan\alpha,B (\muT)
0.0,0,0.0,0.0
0.2,14,0.24932800284318068,6.482528073922698
0.4,26,0.48773258856586144,12.681047302712397
0.6,36,0.7265425280053608,18.890105728139382
0.8,48,1.110612514829193,28.875925385559018
1.0,56,1.4825609685127403,38.546585181331245
1.2,62,1.8807264653463318,48.89888809900463
1.4,68,2.4750868534162964,64.35225818882371
1.6,72,3.0776835371752527,80.01977196655658
1.8,73,3.2708526184841404,85.04216808058766
2.0,78,4.704630109478451,122.32038284643973
