t_s,T_K,DeltaT_K,DeltaQ_env_J
60,281.6,0.6,593.544
120,281.8,0.8,791.392
180,282.2,1.2,1187.088
240,282.4,1.4,1384.936
300,282.7,1.7,1681.708
360,282.9,1.9,1879.556
420,283.0,2.0,1978.48
480,283.2,2.2,2176.328
540,283.4,2.4,2374.176
600,283.5,2.5,2473.1
