t_s,T_K,DeltaT_K,DeltaQ_total_J,DeltaT_rod_K
60,281.3,0.3,483.618,4.74
120,281.6,0.6,967.236,6.81
180,281.9,0.9,1450.854,9.04
240,282.1,1.1,1773.266,10.44
300,282.4,1.4,2256.884,11.4
360,282.7,1.7,2740.502,11.91
420,283.1,2.1,3385.326,12.23
480,283.5,2.5,4030.15,12.52
540,283.9,2.9,4674.974,12.7
600,284.3,3.3,5319.798,12.87
