L_cm,Delta_h_cm,V_ml,p_kPa,R_J_per_molK
22.1,0,23.5675,100.3,8.17695
21.5,2.5,22.9551,103.634,8.22922
20.3,6.4,21.7303,108.835,8.18111
19.3,10.3,20.7096,114.037,8.16944
18.5,14.6,19.893,119.772,8.24196
17.5,18.5,18.8723,124.973,8.15863
16.7,22.7,18.0557,130.574,8.15548
