Material,t_k(C),t_2(C),t_m(C),m_p(g),m_w(ml),c(J/gK)_x,c(J/gK)_y,Error(%)
Brass,20,76,22,179,300,0.3596605408523472,0.38,5.3524892493823115
Aluminum,20,83,26,180,300,1.016514265461634,0.90175,12.726838421029537
Iron,23,85,26,180,300,0.49102807738400966,0.4495,9.238726892994361
