Label,Distance_mm,I0_Voltage,I_Voltage,I_Ratio,Log_Transmission
Semi-permeable,3.35,0.689,0.472,0.685051,-0.378262
Semi-permeable,3.81,0.69,0.455,0.65942,-0.416394
Semi-permeable,3.25,0.685,0.498,0.727007,-0.318819
Semi-permeable,3.4,0.684,0.449,0.656433,-0.420935
glass,3.85,0.685,0.653,0.953285,-0.0478417
glass,2.8,0.684,0.656,0.959064,-0.0417971
glass,3,0.685,0.65,0.948905,-0.0524465
glass,3.9,0.682,0.649,0.951613,-0.0495969
