t_s,T_K,DeltaT_K,DeltaQ_total_J,DeltaT_rod_K
60,281.3,0.3,133.5,4.74
120,281.6,0.6,267.0,6.81
180,281.9,0.9,400.5,9.04
240,282.1,1.1,489.5,10.44
300,282.4,1.4,623.0,11.4
360,282.7,1.7,756.5,11.91
420,283.1,2.1,934.5,12.23
480,283.5,2.5,1112.5,12.52
540,283.9,2.9,1290.5,12.7
600,284.3,3.3,1468.5,12.87
