t_s,T_K,DeltaT_K,DeltaQ_env_J
60,281.6,0.6,177.6
120,281.8,0.8,236.8
180,282.2,1.2,355.2
240,282.4,1.4,414.4
300,282.7,1.7,503.2
360,282.9,1.9,562.4
420,283.0,2.0,592.0
480,283.2,2.2,651.2
540,283.4,2.4,710.4
600,283.5,2.5,740.0
