alpha,Parallel,Perpendicular
10.0,124.6,45.6
15.0,120.3,1.5
20.0,118.3,1.3
25.0,114.6,2.0
30.0,116.5,1.8
35.0,117.2,1.3
40.0,97.1,0.5
45.0,73.1,0.8
50.0,29.1,1.4
52.5,5.4,2.5
55.0,3.0,3.3
60.0,1.2,3.18
62.5,23.8,7.13
65.0,72.0,8.9
70.0,86.9,12.3
75.0,101.3,16.0
